61 couples formed
boy:BDTFKOG girl:PQQJGSG
boy:RTCIODO girl:NUNVOAN
boy:YJSMLJJ girl:ANFJJLK
boy:RXIKMJU girl:WTUTLVX
boy:GSSSJWA girl:ONXTEHR
boy:HIVMLMJ girl:LBJNFWY
boy:WTUTLVX girl:FSIDSYM
boy:XKUSSRH girl:SSLOOMU
boy:UYUVUYI girl:POCMLEQ
boy:DRLJODJ girl:DJVFFSO
boy:GBWWICG girl:OKLASFY
boy:XWKFBPD girl:KQYHUVA
boy:PQQJGSG girl:QVNFXFI
boy:HSVYJEQ girl:COVXUSG
boy:NUNVOAN girl:GPELNLA
boy:EBWGCJK girl:TEFFOUM
boy:GPELNLA girl:FJMMABS
boy:UIBJJXU girl:CTSFUQD
boy:TNQBPWX girl:IIHUCQA
boy:CYFETXU girl:NRANIRL
boy:MCOBTPL girl:UVXRGTE
boy:IYXOQGY girl:HOQJEML
boy:GPVUWHT girl:GTYSAPC
boy:KVKSMSA girl:TVLYMAI
boy:UCRWOUV girl:MQPQGAG
boy:SSLOOMU girl:YJSMLJJ
boy:AFYGCNA girl:YQPPPUN
boy:JJXETJG girl:FEHBMRY
boy:DJVFFSO girl:DKVNJDH
boy:HOQJEML girl:UNSJSQE
boy:LOLMVPJ girl:DEAHXDW
boy:GLYKWJP girl:XBHUBIL
boy:FEHBMRY girl:XMTVXAK
boy:LCXMBAQ girl:OKHEDBE
boy:QVNFXFI girl:GHHIRVJ
boy:EOJUTLW girl:MPJQTSB
boy:GHHIRVJ girl:CWDWPXG
boy:VYTQULC girl:ITRQXDQ
boy:GTYSAPC girl:XKUSSRH
boy:JXPMVEW girl:EKQFGTA
boy:CTSFUQD girl:NGVEJEJ
boy:SINADDQ girl:YMMMNHA
boy:DPFAAXM girl:GBWWICG
boy:FSIDSYM girl:CBVWUXA
boy:TIUJCRS girl:BIKCIEQ
boy:NGVEJEJ girl:CSBLIOE
boy:EKQFGTA girl:MBRQNIR
boy:WXQGJJQ girl:BREMBQM
boy:IIHUCQA girl:QALPFAM
boy:BYSJMVC girl:CYVWFEH
boy:HCLNBSW girl:UCRWOUV
boy:OMRANCU girl:GLYKWJP
boy:KYGPLTU girl:SINADDQ
boy:QALPFAM girl:EVXLPDN
boy:OOOWRUW girl:BYSJMVC
boy:UNSJSQE girl:VYLEKJD
boy:FJMMABS girl:FBFJOEC
boy:YMMMNHA girl:IPLRDHL
boy:CBVWUXA girl:OMRANCU
boy:MQPQGAG girl:WXQGJJQ
boy:OKLASFY girl:LCXMBAQ
