Boy  Girl  Compatibility
TNQBPWX IIHUCQA 1877
DRLJODJ DJVFFSO 1772
RXIKMJU WTUTLVX 1560
EOJUTLW MPJQTSB 1269
GTYSAPC XKUSSRH 1225
LCXMBAQ OKHEDBE 1159
KVKSMSA TVLYMAI 1133
HOQJEML UNSJSQE 1133
OOOWRUW BYSJMVC 1132
FEHBMRY XMTVXAK 1131
UIBJJXU CTSFUQD 1115
AFYGCNA YQPPPUN 1101
GBWWICG OKLASFY 1059
GLYKWJP XBHUBIL 1054
XWKFBPD KQYHUVA 1041
TIUJCRS BIKCIEQ 1036
FJMMABS FBFJOEC 936
EBWGCJK TEFFOUM 933
HSVYJEQ COVXUSG 897
YJSMLJJ ANFJJLK 883
SINADDQ YMMMNHA 857
VYTQULC ITRQXDQ 855
IYXOQGY HOQJEML 853
UYUVUYI POCMLEQ 840
MCOBTPL UVXRGTE 794
IIHUCQA QALPFAM 792
JJXETJG FEHBMRY 784
CYFETXU NRANIRL 773
