Boy  Girl  happiness
DNQBOLQ IDIRJKW 14870
YNYQVNT WROKXKQ 14870
HPBFNNO NKXPHTQ 14870
BEXJSNL KFWTUET 13918
EDBOBPM WHBTSTS 13676
PYRLLKO JILXVXG 11736
PKTBAOC WEMDHUJ 11736
LIHCPRK MFCXJKU 11736
MUJNCIG MDLFTUH 11736
BATNWFX AIRMRNX 11312
DTLENPA IXBRSKU 11312
LDLERAE DDTOAPI 10866
VJMXXGF MVVVKKR 10584
CAOLBRU PWIPNMJ 10584
YMITYEN VWCUNRK 10584
GJEEEIN NPEDQXM 9838
NWGNWVN UMLNKNS 7590
VMSYEYA ABPFVBO 5376
QHJMANK RXDFSRB 3920
WHIUMIU IRJFODJ 3920
DEREACG TYHHDGC 3274
MQQTODQ DJCQGOC 2334
RKBCLRC JLWTXED 2334
AKWGPWL NTSBOWV 938
AYBURWW EWGBBSQ 927
YRNHPLJ OHCXDXG 910
YOOASTU JSHBSWB 836
