59 couples formed
boy:UYUVUYI girl:POCMLEQ
boy:OOOWRUW girl:BYSJMVC
boy:WTUTLVX girl:FSIDSYM
boy:NUNVOAN girl:GPELNLA
boy:GBWWICG girl:OKLASFY
boy:EBWGCJK girl:TEFFOUM
boy:BDTFKOG girl:PQQJGSG
boy:UIBJJXU girl:CTSFUQD
boy:CYFETXU girl:NRANIRL
boy:LOLMVPJ girl:DEAHXDW
boy:EKQFGTA girl:MBRQNIR
boy:DRLJODJ girl:DJVFFSO
boy:HOQJEML girl:UNSJSQE
boy:SSLOOMU girl:YJSMLJJ
boy:YMMMNHA girl:IPLRDHL
boy:BYSJMVC girl:CYVWFEH
boy:GTYSAPC girl:XKUSSRH
boy:PQQJGSG girl:QVNFXFI
boy:TNQBPWX girl:IIHUCQA
boy:XKUSSRH girl:SSLOOMU
boy:QVNFXFI girl:GHHIRVJ
boy:HSVYJEQ girl:COVXUSG
boy:QALPFAM girl:EVXLPDN
boy:FEHBMRY girl:XMTVXAK
boy:RXIKMJU girl:WTUTLVX
boy:RTCIODO girl:NUNVOAN
boy:KYGPLTU girl:SINADDQ
boy:IYXOQGY girl:HOQJEML
boy:DJVFFSO girl:DKVNJDH
boy:TIUJCRS girl:BIKCIEQ
boy:SINADDQ girl:YMMMNHA
boy:DPFAAXM girl:GBWWICG
boy:XWKFBPD girl:KQYHUVA
boy:MCOBTPL girl:UVXRGTE
boy:KVKSMSA girl:TVLYMAI
boy:OKLASFY girl:LCXMBAQ
boy:GPELNLA girl:FJMMABS
boy:MQPQGAG girl:WXQGJJQ
boy:CBVWUXA girl:OMRANCU
boy:IIHUCQA girl:QALPFAM
boy:FJMMABS girl:FBFJOEC
boy:NGVEJEJ girl:CSBLIOE
boy:FSIDSYM girl:CBVWUXA
boy:YJSMLJJ girl:ANFJJLK
boy:GHHIRVJ girl:CWDWPXG
boy:HCLNBSW girl:UCRWOUV
boy:LCXMBAQ girl:OKHEDBE
boy:OMRANCU girl:GLYKWJP
boy:EOJUTLW girl:MPJQTSB
boy:VYTQULC girl:ITRQXDQ
boy:AFYGCNA girl:YQPPPUN
boy:JJXETJG girl:FEHBMRY
boy:UNSJSQE girl:VYLEKJD
boy:GSSSJWA girl:LBJNFWY
boy:HIVMLMJ girl:GTYSAPC
boy:GPVUWHT girl:MQPQGAG
boy:JXPMVEW girl:XBHUBIL
boy:CTSFUQD girl:EKQFGTA
boy:UCRWOUV girl:NGVEJEJ
